lat,lon,dist_to_canal_m
13.520202,100.718182,181.86696863658133
13.520202,100.724242,186.5527493026049
13.520202,100.730303,133.9339704296526
13.520202,100.736364,64.6336037391209
13.520202,100.742424,92.94140466617233
13.520202,100.748485,254.5132667435521
13.520202,100.754545,658.1401454852544
13.520202,100.760606,513.8180378090668
13.520202,100.766667,192.28785144970894
13.520202,100.772727,143.2289413178093
13.520202,100.778788,199.99901920869894
13.520202,100.784848,22.204031861192227
13.520202,100.790909,89.24820989192473
13.520202,100.79697,280.3380221836954
13.520202,100.80303,289.2540621525004
13.520202,100.809091,328.44441729795733
13.520202,100.815152,61.36039991035936
13.520202,100.821212,62.070706367349864
13.520202,100.827273,157.02373596153524
13.520202,100.833333,90.05938122509369
13.520202,100.839394,95.53551277533872
13.520202,100.845455,235.70061438369314
13.520202,100.851515,327.8263035332012
13.520202,100.857576,79.05825157271431
13.520202,100.863636,462.83171383582004
13.520202,100.869697,399.5761354150391
13.520202,100.875758,38.32993479014436
13.520202,100.881818,192.2016255621777
13.520202,100.887879,425.26042719236125
13.520202,100.893939,109.15138079204979
13.520202,100.9,353.85107342924516
13.525253,100.3,1414.4840385448717
13.525253,100.306061,1326.991611737458
13.525253,100.312121,652.4860969440067
13.525253,100.318182,27.250940460396798
13.525253,100.324242,302.0775715113549
13.525253,100.330303,300.4164049779986
13.525253,100.336364,302.2584226530468
13.525253,100.342424,296.23698601769644
13.525253,100.348485,214.83594886352415
13.525253,100.354545,288.7575683072234
13.525253,100.360606,274.21655254915004
13.525253,100.366667,272.35458698567714
13.525253,100.372727,270.2525358756788
13.525253,100.378788,261.7588705853465
13.525253,100.384848,266.17272765146106
13.525253,100.390909,244.2692251321854
13.525253,100.39697,250.87004291214598
13.525253,100.40303,261.30536344724686
13.525253,100.409091,248.90251391946632
13.525253,100.415152,195.9072755326279
13.525253,100.421212,138.44996260323333
13.525253,100.427273,473.0535080135959
13.525253,100.433333,184.90690572774997
13.525253,100.439394,127.83560776931341
13.525253,100.445455,407.9186252333524
13.525253,100.451515,250.87506378507004
13.525253,100.457576,243.80942886917
13.525253,100.463636,416.6854143975148
13.525253,100.469697,71.54873106001801
13.525253,100.475758,191.55415548203334
13.525253,100.481818,470.4419195794467
13.525253,100.487879,111.36967381632759
13.525253,100.493939,430.1706923509135
13.525253,100.5,187.27111882563477
13.525253,100.506061,204.04003897220437
13.525253,100.512121,192.30217721410125
13.525253,100.518182,282.8427059700261
13.525253,100.524242,103.33129917609888
13.525253,100.530303,71.94808297651561
13.525253,100.536364,639.311102023609
13.525253,100.542424,355.35696986996004
13.525253,100.548485,65.88474928855355
13.525253,100.554545,160.6420808780871
13.525253,100.560606,280.60177758859754
13.525253,100.566667,858.066265271899
13.525253,100.572727,354.8497841262668
13.525253,100.578788,639.7685344687429
13.525253,100.584848,1084.759011191459
13.525253,100.590909,1633.6364261864092
13.525253,100.59697,1901.5969601736601
13.525253,100.60303,1795.2226950366187
13.525253,100.609091,1505.083975382745
13.525253,100.615152,1489.3621429089906
13.525253,100.621212,1298.9863285186018
13.525253,100.627273,904.0552190619683
13.525253,100.633333,503.77908948788007
13.525253,100.639394,112.58876843418827
13.525253,100.645455,149.06633129815398
13.525253,100.651515,273.23367577009236
13.525253,100.657576,354.5273250752486
13.525253,100.663636,557.4753596557356
13.525253,100.669697,700.1575307629325
13.525253,100.675758,798.5447370204894
13.525253,100.681818,277.1198311409092
13.525253,100.687879,313.7093235762019
13.525253,100.693939,260.46428608775244
13.525253,100.7,246.4207855250533
13.525253,100.706061,156.8734497847585
13.525253,100.712121,59.08664369123887
13.525253,100.718182,140.86151550155256
13.525253,100.724242,225.9484943382251
13.525253,100.730303,188.84932246677954
13.525253,100.736364,99.89998522953543
13.525253,100.742424,187.14770141104106
13.525253,100.748485,110.6661503343083
13.525253,100.754545,161.39134824530962
13.525253,100.760606,355.879846082648
13.525253,100.766667,373.04621459286705
13.525253,100.772727,156.89822011419514
13.525253,100.778788,46.659561215767866
13.525253,100.784848,455.07976440649867
13.525253,100.790909,29.49653583354957
13.525253,100.79697,577.4019131189575
13.525253,100.80303,413.7051688456706
13.525253,100.809091,73.68748422775917
13.525253,100.815152,411.15049330650083
13.525253,100.821212,259.3035678684832
13.525253,100.827273,153.8155764583067
13.525253,100.833333,16.291456658067055
13.525253,100.839394,81.09263163547676
13.525253,100.845455,48.40289992779747
13.525253,100.851515,95.91458462593174
13.525253,100.857576,45.87987862370917
13.525253,100.863636,342.7783660690104
13.525253,100.869697,207.12503763151977
13.525253,100.875758,302.574911959057
13.525253,100.881818,550.6175931210576
13.525253,100.887879,368.42476365730954
13.525253,100.893939,316.2134219069608
13.525253,100.9,303.86448481318047
13.530303,100.3,1473.199425424405
13.530303,100.306061,900.0787162912827
13.530303,100.312121,528.8692080995422
13.530303,100.318182,112.6002740952036
13.530303,100.324242,643.4325313878322
13.530303,100.330303,642.1708407099889
13.530303,100.336364,634.4098871296624
13.530303,100.342424,360.95198594502955
13.530303,100.348485,285.474718280451
13.530303,100.354545,631.8082472358038
13.530303,100.360606,633.743567801463
13.530303,100.366667,634.0753019235697
13.530303,100.372727,627.356330165479
13.530303,100.378788,306.90951718969654
13.530303,100.384848,370.62119082397373
13.530303,100.390909,247.5155992009427
13.530303,100.39697,296.6669879691167
13.530303,100.40303,401.1793973593
13.530303,100.409091,116.8236765205897
13.530303,100.415152,97.82145159858042
13.530303,100.421212,180.63917837993122
13.530303,100.427273,298.57046553373135
13.530303,100.433333,335.32552124780153
13.530303,100.439394,330.97175081335706
13.530303,100.445455,53.50210138052864
13.530303,100.451515,348.1939957152866
13.530303,100.457576,27.18585056206763
13.530303,100.463636,164.6243462671679
13.530303,100.469697,178.07158416733355
13.530303,100.475758,121.9239017040425
13.530303,100.481818,473.95853013060656
13.530303,100.487879,98.2637378774952
13.530303,100.493939,373.82002048785876
13.530303,100.5,298.65484721842216
13.530303,100.506061,195.53827769151724
13.530303,100.512121,286.5257282035875
13.530303,100.518182,470.12369298496026
13.530303,100.524242,174.23606012860725
13.530303,100.530303,156.3883507943803
13.530303,100.536364,529.1015411899621
13.530303,100.542424,18.134304760255493
13.530303,100.548485,77.07983617306118
13.530303,100.554545,393.32516204654587
13.530303,100.560606,137.92140494518884
13.530303,100.566667,628.9758828606019
13.530303,100.572727,11.881270742989622
13.530303,100.578788,224.11231480704848
13.530303,100.584848,794.8602126911005
13.530303,100.590909,1381.0432431783795
13.530303,100.59697,1347.459733692604
13.530303,100.60303,1378.119453166075
13.530303,100.609091,970.3950099697278
13.530303,100.615152,945.8267786178825
13.530303,100.621212,845.29882708917
13.530303,100.627273,450.01454422920034
13.530303,100.633333,102.99546462792215
13.530303,100.639394,350.4388546453941
13.530303,100.645455,664.6977764811146
13.530303,100.651515,745.6883119521626
13.530303,100.657576,123.4625875456004
13.530303,100.663636,479.9303207371892
13.530303,100.669697,336.5063848697698
13.530303,100.675758,236.77991296872605
13.530303,100.681818,245.99995461888844
13.530303,100.687879,144.756136853764
13.530303,100.693939,390.10423528952293
13.530303,100.7,102.43898545889112
13.530303,100.706061,328.1766182035972
13.530303,100.712121,243.68763816036795
13.530303,100.718182,127.0921051234886
13.530303,100.724242,225.12973060886688
13.530303,100.730303,164.24632055977793
13.530303,100.736364,118.89668342342935
13.530303,100.742424,93.30936494266447
13.530303,100.748485,22.91717616805575
13.530303,100.754545,262.7400010212257
13.530303,100.760606,88.1429236378847
13.530303,100.766667,222.85514273237777
13.530303,100.772727,203.23392863589063
13.530303,100.778788,116.83011990541866
13.530303,100.784848,563.7971289839755
13.530303,100.790909,237.72903941191322
13.530303,100.79697,133.21442027912084
13.530303,100.80303,238.09579122420658
13.530303,100.809091,174.63966253499893
13.530303,100.815152,419.9859128498786
13.530303,100.821212,179.37346980367113
13.530303,100.827273,153.8563642988893
13.530303,100.833333,304.41686331635646
13.530303,100.839394,267.2872873053906
13.530303,100.845455,398.62966812463293
