lat,lon,elevation_m
13.530303,100.445455,1.0
13.530303,100.451515,5.0
13.530303,100.457576,1.0
13.530303,100.463636,5.0
13.530303,100.469697,5.0
13.530303,100.475758,5.0
13.530303,100.481818,5.0
13.530303,100.487879,2.0
13.530303,100.493939,3.0
13.530303,100.5,1.0
13.530303,100.506061,1.0
13.530303,100.512121,4.0
13.530303,100.518182,1.0
13.530303,100.524242,1.0
13.530303,100.530303,3.0
13.530303,100.536364,2.0
13.530303,100.542424,5.0
13.530303,100.548485,1.0
13.530303,100.554545,5.0
13.530303,100.560606,1.0
13.530303,100.566667,1.0
13.530303,100.572727,4.0
13.530303,100.578788,1.0
13.530303,100.584848,5.0
13.530303,100.590909,5.0
13.530303,100.59697,5.0
13.530303,100.60303,5.0
13.530303,100.609091,5.0
13.530303,100.615152,5.0
13.530303,100.621212,4.0
13.530303,100.627273,2.0
13.530303,100.633333,4.0
13.530303,100.639394,5.0
13.530303,100.645455,4.0
13.530303,100.651515,2.0
